422;20879;CIRCUIT DU MAINE
423;11733;CITADIS
424;3469;CITIVIA SPL
425;22612;CIUP PARIS
426;10039;CLEMESSY
427;1874;CLEMESSY
428;15748;CLEMESSY C3
429;18678;CLERMONT COMMUNAUTE
430;19056;CLIENT TYPE NOXA
431;19132;CLIMAVER
432;21697;CLIMIX
433;23238;CLUB MED
434;18921;CLUB TROLLSPORTS TRIAL
435;21410;CNFPT
436;20121;CNFTP
437;3846;CNRS - VILLEURBANNE
438;23591;CNRS DELEGATION CENTRE EST
439;11820;CODEVAM
440;22719;COFELY SUD OUEST - GDF SUEZ
441;23550;COFINANCE SAS
442;23429;COFINIMMO
443;23622;COFINIMMO SA SUCCURSALE
444;23715;COFIROUTE
445;19057;COGNAC FERRAND
446;22822;COLAS SA
447;22454;COLISEE RE
448;23230;COLLIERS  INTERNATIONAL
449;21021;COLMABU SAS
450;23634;COLMAR AGGLOMERATION
451;19457;COLOMBES HABITAT PUBLIC
452;23076;COM COM  DU PAYS DES BRIERES ET DU GESNOIS
453;23555;COM COM SOMBERNONNAIS ET VALLEE DE L'OUCHE
454;19216;COMAGA
455;22187;COMMERZ REAL
456;23811;COMMERZ REAL INVESTMENT GESELLSCHAFT MBH
457;19350;COMMUNAUT+ DES COMMUNES DU BOCAGE MAYENNAIS
458;18644;COMMUNAUTE AGGLOMERATION DIJONNAISE
459;18494;COMMUNAUTE AGGLOMERATION SEINE EURE
460;22768;COMMUNAUTE AGGLOMERATION SOPHIA ANTIPOLIS
461;22781;COMMUNAUTE AGGLOMERATION TOULON PROVENCE MEDITERRA
462;22812;COMMUNAUTE COMMUNE COEUR DE MAURIENNE
463;23394;COMMUNAUTE COMMUNE LORRAINES DU LONGUYONNAIS
464;1254;COMMUNAUTE COMMUNE PAYS DES ETANGS
465;1145;COMMUNAUTE COMMUNES AGGLOMERATION SARREBOURG
466;18111;COMMUNAUTE COMMUNES BASSIN POMPEY
467;20632;COMMUNAUTE COMMUNES LA FERTE SAINT MICHEL
468;18118;COMMUNAUTE COMMUNES PAYS COULANGEOIS
469;1128;COMMUNAUTE COMMUNES VAL DE MOSELLE
470;1222;COMMUNAUTE COMMUNES VALLEE HUNDSBACH
471;18558;COMMUNAUTE D'AGGLOMERATION BAR LE DUC SUD MEUSE
472;23420;COMMUNAUTE D'AGGLOMERATION DE CHALONS EN CHAMPAGNE
473;19496;COMMUNAUTE D'AGGLOMERATION DE LA ROCHELLE
474;19255;COMMUNAUTE D'AGGLOMERATION DE LAVAL
475;23296;COMMUNAUTE D'AGGLOMERATION DU GRAND VERDUN
476;21837;COMMUNAUTE D'AGGLOMERATION SOPHIA ANTIPOLIS
477;19523;COMMUNAUTE DE COMMUNED COTE DE PENTHIEVRE
