N_Client,Nom_Client
18242,SNCF GARES ET CONNEXIONS RENNES 35
18769,AMETIS PROVENCE ALPES COTE D'AZUR
18776,BE LOUIS CHOULET
19104,EUROLEV
19105,GUIHENEUF ET FILS
23625,HELEXIA
23633,REGIE DES SAISIES
23645,CAMTEX
23663,VTG FRANCE SAS
23666,MAIRIE DE SAINT YRIEIX SUR CHARENTE
23671,TETHYS
23674,VILLE DE DAMBACH LA VILLE
23675,ECDM
23679,VILLE DE REVIN
23680,SAS SHEMA / FONCINVESTIS
23683,ETABLISSEMENT DE SANTE MENTALE
18275,COMMUNE DE QUETIGNY
4248,EUROPEAN COMMISSION LIAISON OFFICE TO KOSOVO
18875,MAIRIE SEREZIN DE LA TOUR
18878,V2G PAYSAGES
7028,SYNDICAT INTERCOMMUNAL D'ASSAINISST BREVENNE
7030,VIENNAGGLO
19655,GALLAIS CLAIRE ARCHITECTE
23636,COMMUNE DE AZE
23637,SNCF / SAINT DENIS
23639,AGILIS
23640,DIAR EL MADINA
23641,ID WAD
23644,COMMUNE DU BOIS D OINGT
23656,EHPAD "LES HESPERIDES"
23682,DEPARTEMENT DE LA MEUSE
23690,GROUPE LEGENDRE
23691,COMMUNAUTE DE COMMUNES CANTON ST PIERRE EGLISE
18431,COMMUNE D'AUGNY
18697,SNCF - DIRECTION DES PROJETS FRANCILIENS
4264,SNCF - GARES & CONNEXIONS
7041,MAIRIE DE BOURG EN BRESSE
7043,CC DES VALLONS DU LYONNAIS
23659,COREVA
23660,AXE ET COURBES
23661,MAIRIE DE ROQUEVAIRE
23662,COMMUNAUTE DE COMMUNES ALPES D'AZUR
23665,KLEPIERRE
23667,DOMANYS
23668,MON LOGIS - GROUPE PLURIAL
23672,BS INVEST HOLDING ET DIAR EL MADINA
23706,VILLE D'ECULLY
4293,REGIE D'IMMEUBLES NEYRAT
22824,DYNAMIQUE FROID SERVICE
18304,LAITA
18313,SNCF GARES ET CONNEXIONS PARIS 12E
18324,DROME AMENAGEMENT HABITAT
18725,CC LE TONNERROIS EN BOURGOGNE
4305,CONSEIL DEPARTEMENTAL 42
7082,INDUSTEEL FRANCE
19110,LEA ARCHITECTES
19111,SCCV MANOX 1
4309,CONSEIL DEPARTEMENTAL 69
18740,TRANSPORTS GUISNEL
21170,GARNIEL BATIMENT
18738,CENTRAL FINANCE AND CONTRACTS UNIT TURKEY
18722,KEDGE B S
18723,AEROPORT DE LA COTE D AZUR
18724,SAN OUEST PROVENCE
18742,AXEO FM
18744,STEMCOR/ST PRIEST
18761,INEO RESEAUX EST - CRISSEY
4341,BRGM
19491,MAIRIE DE LOUVIGNE DU DESERT
21349,MAIRIE DE TILLOU
21352,MAIRIE DOUZAT
18284,IFSTTAR
18285,COMMUNE DE CHATOU
1707,CONSEIL DEPARTEMENTAL 21
18770,AFUL
18791,SAGETS
18793,REGIE MONTGENEVRE
4354,RENAULT NISSAN GUYANCOURT
4355,UNIVERSITE DE LYON
21774,CONSEIL DEPARTEMENTAL DES COTES D'ARMOR
9914,CENTRE HOSPITALIER SAINTE ANNE
21161,ADAPEI LES PAPILLONS BLANCS
18810,DINA MACHEDON
21797,MAIRIE DE CESSON SEVIGNE
21805,GROUPE CASINO
21806,SCI L'ARBALESTRILLE
1743,SCHNEIDER AUTOMATION SAS
21810,NOTRE MAISON 
21813,ALYOTECH
21814,SOCIETE D'EXPLOITATION DES AEROPORTS DE RENNES ET 
21821,LYCEE CLAIRE CHAMPAGNE
21822,DCNS
21432,ONILLON
21437,ARCHITECTE BRUNET
21438,LORIENT HABITAT
21439,SAS SERC
23681,ADYTON
23715,COFIROUTE
23699,SARL ARELEC
23700,CFC FACADES
23734,SGAP DE L'EST
23724,GEM LE NOUVEAU CAP
18910,LOGIS SOCIAL DU VAL D'OISE
18911,CA MARNE ET GONDOIRE
21452,BERNARD JEAN CHRISTOPHE
21453,SAINT-JEAN COMMUNAUTE
22747,SIAEP DE SAINTE SUZANNE
22785,COMMUNAUTE DE COMMUNES DE BONNEE
22801,TULLE'AGGLO
22829,VILLE D'ORLêANS
22849,DAHMOUN SARL
23687,COMMUNE DE JARVILLE LA MALGRANGE
23692,SNCF - CSP CFO
23696,CC GIENNOISES
23713,SGAMI OUEST
21837,COMMUNAUTE D'AGGLOMERATION SOPHIA ANTIPOLIS
21838,CUIVRINOX
21845,HYPRED
21847,ARCHAMBEAU
21848,SMI
21458,COMMUNAUTE DE COMMUNES DU VAL D'OUST ET DE LANVAUX
21460,SAEBI
22735,DUBOSCLARD
18812,SIVU DES ROSSANDES
